,BEECHJET 400,BEECHJET 400A,CITATION 500,CITATION 525,CITATION BRAVO,CITATION CJ1,CITATION CJ2,CITATION ENCORE,CITATION EXCEL,CITATION I,CITATION I/SP,CITATION II,CITATION II/SP,CITATION S/II,CITATION ULTRA,CITATION V,DIAMOND I,DIAMOND IA,DIAMOND II,FALCON 10,FALCON 100,JET COMMANDER 1121,JET COMMANDER 1121A,JET COMMANDER 1121B,LEARJET 23,LEARJET 24,LEARJET 24A,LEARJET 24B,LEARJET 24D,LEARJET 24E,LEARJET 24F,LEARJET 25,LEARJET 25B,LEARJET 25C,LEARJET 25D,LEARJET 25G,LEARJET 28,LEARJET 29,LEARJET 31,LEARJET 31A,LEARJET 35,LEARJET 35A,LEARJET 36,LEARJET 36A,LEARJET 55,PREMIER I,SABRELINER 40,SABRELINER 40A,SABRELINER 40EL,SABRELINER 40EX,SABRELINER 40R,SABRELINER 40SE,CITATION CJ3,HAWKER 400XP,CITATION CJ1+,CITATION CJ2+,PREMIER IA,CITATION ENCORE+,CITATION CJ4,EMBRAER PHENOM 100,EMBRAER PHENOM 300,HONDAJET HA-420,SYBERJET SJ30-2,CITATION M2,NEXTANT 400XT,CITATION CJ3+,PILATUS PC-24,NEXTANT 400XTi,HAWKER 400XPR,EMBRAER PHENOM 100E,EMBRAER PHENOM 100EV,EMBRAER PHENOM 300E,HONDAJET ELITE,CITATION CJ4 GEN2,HONDAJET ELITE S,CITATION M2 GEN 2
Thrust Reverse Overhaul,13,13,0,0,13,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,13,0,0,13,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
Miscellaneous Flight Expenses,"1,233.00","1,239.00","1,165.00","1,153.00","1,227.00",728,790,"1,239.00","1,256.00","1,165.00",740,"1,221.00",796,"1,233.00","1,239.00","1,239.00","1,076.00","1,227.00","1,080.00","1,250.00","1,250.00","1,087.00","1,087.00","1,087.00","1,165.00","1,165.00","1,029.00","1,165.00","1,165.00","1,165.00","1,165.00","1,227.00","1,227.00","1,177.00","1,327.00","1,227.00","1,233.00","1,177.00","1,244.00","1,244.00","1,239.00","1,239.00","1,189.00","1,189.00","1,250.00",740,"1,051.00","1,051.00","1,051.00","1,051.00","1,051.00","1,051.00",796,"1,289.00",628,740,790,"1,123.00","1,239.00",628,825,53,"1,171.00",728,"1,239.00",746,819,"1,289.00","1,239.00",678,778,825,53,914,59,778
  Landing-Parking Fee,83,89,65,53,77,53,65,89,106,65,65,71,71,83,89,89,46,77,50,100,100,57,57,57,65,65,39,65,65,65,65,77,77,77,77,77,83,77,94,94,89,89,89,89,100,65,61,61,61,61,61,61,71,89,53,65,65,53,89,53,100,53,71,53,89,71,94,89,89,53,53,100,53,89,59,53
  Crew Expenses,750,750,750,750,750,375,375,750,750,750,375,750,375,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,375,750,750,750,750,750,750,375,750,375,375,375,750,750,375,375,0,750,375,750,375,375,750,750,375,375,375,0,375,0,375
  Supplies-Catering,400,400,350,350,400,300,350,400,400,350,300,400,350,400,400,400,280,400,280,400,400,280,280,280,350,350,240,350,350,350,350,400,400,350,500,400,400,350,400,400,400,400,350,350,400,300,240,240,240,240,240,240,350,450,200,300,350,320,400,200,350,0,350,300,400,300,350,450,400,250,350,350,0,450,0,350
Total Direct Costs,"1,986.13","1,927.90","1,341.48","1,487.63","2,014.88","1,416.01","1,508.59","2,277.14","2,501.96","1,516.53","1,796.45","1,636.88","1,528.95","1,664.80","1,827.05","1,801.14","1,896.18","1,883.91","1,808.93","1,890.57","1,857.70","2,838.17","2,838.17","2,656.98","2,897.27","2,872.19","2,856.79","2,820.67","2,809.67","2,644.64","1,971.04","2,809.67","2,797.13","2,797.13","2,208.30","2,943.10","2,716.87","2,716.87","1,953.31","1,766.52","1,961.44","1,750.97","1,961.44","1,623.91","2,066.88","1,631.46","2,222.87","2,489.54","2,308.16","2,308.16","2,308.16","2,308.16","1,613.25","1,941.71","1,423.05","1,614.46","1,584.58","2,048.57","1,920.54","1,172.96","1,891.63","1,232.66","1,361.45","1,443.10","1,435.47","1,491.22","1,896.20","1,532.78","1,616.59","1,146.18","1,356.35","1,810.65","1,284.81","1,770.44","1,332.32","1,349.42"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Speed Nautical Miles Per Hour,417,391,371,332,355,333,375,395,400,324,306,343,343,364,392,385,371,387,383,420,411,347,347,347,327,340,340,348,389,360,364,348,385,385,476,414,423,423,423,429,428,429,428,420,414,400,363,363,365,365,365,368,383,435,343,380,400,383,420,391,411,375,425,368,332,384,402,405,450,340,345,416,368,420,370,370
Total Cost Per Nautical Mile,4.76,4.93,3.62,4.48,5.68,4.25,4.02,5.76,6.25,4.68,5.87,4.77,4.46,4.57,4.66,4.68,5.11,4.87,4.72,4.5,4.52,8.18,8.18,7.66,8.86,8.45,8.4,8.11,7.22,7.35,5.41,8.07,7.27,7.27,4.64,7.11,6.42,6.42,4.62,4.12,4.58,4.08,4.58,3.87,4.99,4.08,6.12,6.86,6.32,6.32,6.32,6.27,4.21,4.46,4.15,4.25,3.96,5.35,4.57,3,4.6,3.29,3.2,3.92,4.32,3.88,4.72,3.78,3.59,3.37,3.93,4.35,3.49,4.22,3.6,3.65
ANNUAL FIXED COSTS (US Standard),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US)
